Name,Address,Location
"
冨士屋酒店
",東京都品川区荏原4丁目13-5,"{'lat': 35.6152246, 'lng': 139.7061943}"
"
リーベンハウス品川ビル店
",東京都品川区東品川4丁目10-27,"{'lat': 35.6070525, 'lng': 139.7458238}"
"
リーベンハウス大崎ガーデンタワー店
",東京都品川区西品川1丁目1-1,"{'lat': 35.6149384, 'lng': 139.731068}"
"
cisca大崎フォレストビル店
",東京都品川区東五反田2丁目18-1,"{'lat': 35.6242325, 'lng': 139.7295492}"
"
ローソン・スリーエフ 品川戸越公園駅前店
",東京都品川区戸越6-7-26,"{'lat': 35.6083545, 'lng': 139.7179128}"
"
ローソンLTF 荏原一丁目店
",東京都品川区荏原1-16-1,"{'lat': 35.6195422, 'lng': 139.7165049}"
"
NEWDAYS MINI(ニューデイズ ミニ) 目黒2号店
",東京都品川区上大崎2 目黒駅 ホーム 五反田方,"{'lat': 35.63391319999999, 'lng': 139.7155561}"
"
NEWDAYS(ニューデイズ) ミニ大井町6号店
",東京都品川区大井1丁目2-1 JR大井町駅東口改札内,"{'lat': 35.606212, 'lng': 139.734828}"
"
NEWDAYS(ニューデイズ) 大崎南口店
",東京都品川区大崎1-21-4 大崎駅南口改札内,"{'lat': 35.6198513, 'lng': 139.7281892}"
"
NEWDAYS(ニューデイズ) 五反田店
",東京都品川区東五反田1-26-2 五反田駅改札正面,"{'lat': 35.6260064, 'lng': 139.7238134}"
"
NEWDAYS(ニューデイズ) 大崎北口店
",東京都品川区大崎1-21-4 大崎駅構内北口改札正面,"{'lat': 35.6198513, 'lng': 139.7281892}"
"
NEWDAYS(ニューデイズ) 大崎店
",東京都品川区大崎1-21-4 大崎駅改札内,"{'lat': 35.6198513, 'lng': 139.7281892}"
"
NEWDAYS(ニューデイズ) りんかい大井町店
",東京都品川区大井1丁目 りんかい線大井町駅改札外コンコース,"{'lat': 35.6070592, 'lng': 139.7346156}"
"
ローソン・スリーエフ 品川小山台店
",東京都品川区小山台1-20-20,"{'lat': 35.6225538, 'lng': 139.70547}"
"
トムキャット
",東京都品川区西大井2-4-7,"{'lat': 35.5999554, 'lng': 139.7231134}"
"
ローソン 南大井六丁目店
",東京都品川区南大井6-11-13,"{'lat': 35.5907517, 'lng': 139.7328933}"
"
ローソン 東品川三丁目店
",東京都品川区東品川3-24-16,"{'lat': 35.6113308, 'lng': 139.7456637}"
