Name,Address,Location
"
ローソンサテライト  MFPR渋谷店
",東京都渋谷区渋谷1-2-5,"{'lat': 35.6617445, 'lng': 139.7066514}"
"
株式会社オリエンタルウィンド
",東京都渋谷区宇田川町2-1,"{'lat': 35.663638, 'lng': 139.6985068}"
"
サンスマイル
",東京都渋谷区笹塚1丁目58-14,"{'lat': 35.6734734, 'lng': 139.6664025}"
"
ニューデイズ代々木店
",東京都渋谷区代々木1丁目34-1,"{'lat': 35.6831028, 'lng': 139.7020467}"
"
ニューデイズ渋谷7号
",東京都渋谷区道玄坂1丁目1-1,"{'lat': 35.6586951, 'lng': 139.7009081}"
"
KIOSK(キオスク) 渋谷1号店
",東京都渋谷区渋谷 渋谷駅2番線山手線内回りホーム,"{'lat': 35.6580339, 'lng': 139.7016358}"
"
KIOSK(キオスク) 渋谷10号
",東京都渋谷区道玄坂1 渋谷駅南口改札外左側,Error
"
A LoT(アロット) 渋谷井の頭線ホーム店
",東京都渋谷区道玄坂1 井の頭線ホーム,"{'lat': 35.6585744, 'lng': 139.6993707}"
"
K-Shop渋谷店
",東京都渋谷区道玄坂1 井の頭線改札外コンコース,"{'lat': 35.6581518, 'lng': 139.6981574}"
"
メトロス 銀座線上りホーム中央店
",東京都渋谷区渋谷2,"{'lat': 35.6594459, 'lng': 139.7070931}"
"
メトロス 銀座線JR改札付近店
",東京都渋谷区渋谷2,"{'lat': 35.6594459, 'lng': 139.7070931}"
"
メトロス 半蔵門線ホーム錦糸町寄り店
",東京都渋谷区渋谷2,"{'lat': 35.6594459, 'lng': 139.7070931}"
"
メトロス 渋谷駅 宮益坂口改札付近店
",東京都渋谷区渋谷2,"{'lat': 35.6594459, 'lng': 139.7070931}"
"
トークス 渋谷店
",東京都渋谷区道玄坂2-1-1 渋谷駅2FJR改札横,"{'lat': 35.659448, 'lng': 139.6997516}"
"
トークス 田園都市線渋谷ホーム店
",東京都渋谷区道玄坂2-1-1 田園都市線渋谷駅 B3Fホーム内,"{'lat': 35.6594898, 'lng': 139.6995167}"
"
NewDays KIOSK 渋谷駅1番線ホーム店
",東京都渋谷区 渋谷駅1番線ホーム,"{'lat': 35.6580635, 'lng': 139.7014312}"
"
NEWDAYS(ニューデイズ) JR南新宿ビル店
",東京都渋谷区代々木2-1 JR南新宿ビル2階エントランス脇,"{'lat': 35.6861951, 'lng': 139.699713}"
"
NEWDAYS(ニューデイズ) 新宿新南店
",東京都新宿区新宿3-38-2 新宿駅新南口改札外,"{'lat': 35.6896067, 'lng': 139.7005713}"
"
NEWDAYS(ニューデイズ) 渋谷7号店
",東京都渋谷区道玄坂1 渋谷駅改札内埼京連絡通路中央,"{'lat': 35.6580339, 'lng': 139.7016358}"
"
生活彩家 青少年総合センター店
",東京都渋谷区代々木神園町3-1 国立オリンピック青少年総合センター宿泊D棟1F,"{'lat': 35.6756251, 'lng': 139.6925538}"
"
NEWDAYS MINI(ニューデイズミニ) 恵比寿2号店
",東京都渋谷区恵比寿南1 恵比寿駅東口改札横,"{'lat': 35.6467139, 'lng': 139.7100777}"
"
NEWDAYS(ニューデイズ) 恵比寿店
",東京都渋谷区恵比寿南1 恵比寿駅西口改札内正面,"{'lat': 35.6467139, 'lng': 139.7100777}"
"
NEWDAYS(ニューデイズ) JR病院店
",東京都渋谷区代々木2-1-3 JR東京総合病院2F,"{'lat': 35.6854126, 'lng': 139.7001519}"
"
NEWDAYSMINI(ニューデイズミニ) 千駄ヶ谷1号店
",東京都渋谷区千駄ヶ谷1丁目,"{'lat': 35.6793423, 'lng': 139.7109231}"
"
ニューヤマザキデイリーストア 神宮前店
",東京都渋谷区神宮前3-42-16,"{'lat': 35.671816, 'lng': 139.7141661}"
"
別所商店
",東京都渋谷区神宮前2-25-5,"{'lat': 35.6741734, 'lng': 139.710583}"
"
有限会社小島商店
",東京都渋谷区円山町1-19,"{'lat': 35.6597717, 'lng': 139.6952836}"
"
有限会社シンコー商事
",東京都渋谷区道玄坂2-29-13,"{'lat': 35.6596774, 'lng': 139.6978763}"
"
阿木酒店
",東京都渋谷区東1-27-8,"{'lat': 35.6542257, 'lng': 139.7073109}"
"
99イチバ渋谷幡ヶ谷店
",東京都渋谷区本町5-39-2,"{'lat': 35.6818369, 'lng': 139.675411}"
"
みんなのイチバ代々木駅東口店
",東京都渋谷区千駄ヶ谷5-22-3,"{'lat': 35.6835375, 'lng': 139.7040031}"
"
ローソン 広尾五丁目店
",東京都渋谷区広尾5-8-16,"{'lat': 35.6482906, 'lng': 139.7210267}"
"
ローソン 千駄ヶ谷一丁目店
",東京都渋谷区千駄ヶ谷1-20-6,"{'lat': 35.6795159, 'lng': 139.710388}"
"
ローソン 渋谷本町一丁目店
",東京都渋谷区本町1-21-12,"{'lat': 35.6784684, 'lng': 139.6797118}"
"
ローソン 渋谷鶯谷町店
",東京都渋谷区鶯谷町15-9,"{'lat': 35.6541521, 'lng': 139.700562}"
"
ローソン 神宮前四丁目店
",東京都渋谷区神宮前4-29-3,"{'lat': 35.6682519, 'lng': 139.7065209}"
"
ローソン 神山店
",東京都渋谷区神山町12-3,"{'lat': 35.6628048, 'lng': 139.6944511}"
"
ローソン 富ヶ谷一丁目店
",東京都渋谷区富ヶ谷1-6-9,"{'lat': 35.6690688, 'lng': 139.6893227}"
"
ローソン 円山町店
",東京都渋谷区円山町11-10,"{'lat': 35.6591977, 'lng': 139.6941786}"
"
ローソン 笹塚駅前店
",東京都渋谷区笹塚1-28-9,"{'lat': 35.6730097, 'lng': 139.6673494}"
"
ローソン 代々木一丁目店
",東京都渋谷区代々木1-10-1,"{'lat': 35.68197320000001, 'lng': 139.6979198}"
"
ローソン 天現寺店
",東京都渋谷区恵比寿3-39-5,"{'lat': 35.64385100000001, 'lng': 139.7208014}"
"
ローソン 恵比寿南一丁目店
",東京都渋谷区恵比寿南1-7-8,"{'lat': 35.6460873, 'lng': 139.7098241}"
"
ローソン 広尾南店
",東京都渋谷区広尾1-8-10,"{'lat': 35.648677, 'lng': 139.715829}"
"
ローソン 南平台店
",東京都渋谷区南平台町3-7,"{'lat': 35.6550736, 'lng': 139.6966326}"
"
ローソン 幡ヶ谷二丁目店
",東京都渋谷区幡ヶ谷2-49-3,"{'lat': 35.6797541, 'lng': 139.6771248}"
"
ローソン 渋谷三丁目店
",東京都渋谷区渋谷3-28-8,"{'lat': 35.6560738, 'lng': 139.7042705}"
"
ローソン 道玄坂二丁目店
",東京都渋谷区道玄坂2-20-26,"{'lat': 35.6592947, 'lng': 139.6968045}"
"
ローソン 渋谷東一丁目店
",東京都渋谷区東1-3-10,"{'lat': 35.6573055, 'lng': 139.7081841}"
"
ローソン 渋谷笹塚二丁目店
",東京都渋谷区笹塚2-4-3,"{'lat': 35.6754646, 'lng': 139.6700024}"
"
ローソン 渋谷二丁目店
",東京都渋谷区渋谷2-2-5,"{'lat': 35.6602826, 'lng': 139.7087065}"
"
ローソン 大江戸線新宿駅前店
",東京都渋谷区代々木2-6-3,"{'lat': 35.6877781, 'lng': 139.698597}"
"
ローソン 神宮前一丁目店
",東京都渋谷区神宮前1-4-16,"{'lat': 35.6721759, 'lng': 139.707711}"
