Name,Address,Location
"
Fマートさかもとや
",東京都杉並区久我山3丁目10-1,"{'lat': 35.6864584, 'lng': 139.5931305}"
"
生活彩家荻窪病院店
",東京都杉並区今川3-1-24,"{'lat': 35.7152377, 'lng': 139.6072746}"
"
NEWDAYS(ニューデイズ) 荻窪4号店
",東京都杉並区上荻1-7-1 荻窪駅西口改札外左脇,"{'lat': 35.7043847, 'lng': 139.6191159}"
"
NEWDAYSMINI(ニューデイズミニ) 西荻窪5号店
",東京都杉並区西荻北3-1-9 西荻窪駅改札内正面階段上,"{'lat': 35.7040399, 'lng': 139.6000636}"
"
NEWDAYS(ニューデイズ) 西荻窪店
",東京都杉並区西荻北3-1-9 西荻窪駅改札脇,"{'lat': 35.7040399, 'lng': 139.6000636}"
"
NEWDAYS(ニューデイズ) 高円寺店
",東京都杉並区高円寺南4 高円寺駅構内,"{'lat': 35.7053168, 'lng': 139.6496915}"
"
ローソン LTF 杉並方南町
",東京都杉並区方南2-8-9,"{'lat': 35.6819525, 'lng': 139.6580812}"
"
K-SHOP(ケーショップ) 高井戸店
",東京都杉並区高井戸西2-1-26,"{'lat': 35.6835464, 'lng': 139.6141323}"
"
ポプラ 荻窪店
",東京都杉並区今川4-21-10,"{'lat': 35.7169298, 'lng': 139.5970914}"
"
スリーエイト 永福北口店
",東京都杉並区和泉3-46-7,"{'lat': 35.6798073, 'lng': 139.6461153}"
"
ヒロマルチェーン スリーエイト 阿佐谷北店
",東京都杉並区阿佐谷北2-9-12,"{'lat': 35.7056394, 'lng': 139.6320557}"
"
ヒロマルチェーン スリーエイト 永福北口店
",東京都杉並区和泉3-46-7,"{'lat': 35.6798073, 'lng': 139.6461153}"
"
マクドナルド 20号桜上水店
",東京都杉並区下高井戸2-9-5,"{'lat': 35.6687237, 'lng': 139.6353197}"
"
ローソン 和田三丁目店
",東京都杉並区和田3-14-1,"{'lat': 35.6923498, 'lng': 139.6558383}"
"
ローソン 上荻一丁目店
",東京都杉並区上荻1-23-1,"{'lat': 35.7066367, 'lng': 139.6170215}"
