Name,Address,Location
"
NEWDAYSMINI(ニューデイズミニ) 三河島1号店
",東京都荒川区西日暮里1-6-10 三河島駅改札外コンコース,"{'lat': 35.7332294, 'lng': 139.7783915}"
"
NEWDAYSMINI(ニューデイズミニ) 西日暮里1号店
",東京都荒川区西日暮里5-22 西日暮里駅コンコース,"{'lat': 35.73200569999999, 'lng': 139.7668856}"
"
駅売店 MiNi SHOP(ミニショップ) 日暮里駅店
",東京都荒川区西日暮里2丁目 日暮里駅 一般列車下りホーム,"{'lat': 35.7281578, 'lng': 139.7706414}"
"
駅売店 MiNi SHOP(ミニショップ) 新三河島駅店
",東京都荒川区西日暮里6丁目 新三河島駅 改札横,"{'lat': 35.7373088, 'lng': 139.7741067}"
"
Yショップ西日暮里うえむら店
",東京都荒川区西日暮里2-16-5,"{'lat': 35.729434, 'lng': 139.7724585}"
"
ローソン 東日暮里三丁目店
",東京都荒川区東日暮里3-9-14,"{'lat': 35.7282994, 'lng': 139.7822263}"
"
ローソン 南千住三丁目店
",東京都荒川区南千住3-12-13,"{'lat': 35.7291736, 'lng': 139.8022049}"
"
ローソン 東尾久五丁目店
",東京都荒川区東尾久5-38-7,"{'lat': 35.7492546, 'lng': 139.7677937}"
"
ナチュラルローソン 東京女子医大東医療店
",東京都荒川区西尾久2-1-10,"{'lat': 35.7483727, 'lng': 139.7656052}"
"
ローソンストア100 LS荒川町屋二丁目店
",東京都荒川区町屋2-16-15,"{'lat': 35.7437329, 'lng': 139.7781778}"
"
ローソン 東日暮里一丁目店
",東京都荒川区東日暮里1-42,"{'lat': 35.7279984, 'lng': 139.7873353}"
"
ローソン 南千住駅西口店
",東京都荒川区南千住4-5,"{'lat': 35.733973, 'lng': 139.7995608}"
"
ローソン 南千住メトロピア店
",東京都荒川区南千住4-2,"{'lat': 35.7342688, 'lng': 139.8001202}"
"
ローソン 西尾久八丁目店
",東京都荒川区西尾久8-33-35,"{'lat': 35.7511519, 'lng': 139.7531928}"
"
ローソン 荒川町屋一丁目店
",東京都荒川区町屋1-38-14,"{'lat': 35.7448208, 'lng': 139.786642}"
"
ローソン 荒川西日暮里一丁目店
",東京都荒川区西日暮里1-19-15,"{'lat': 35.7360145, 'lng': 139.7754361}"
"
ローソンストア100 LS荒川南千住五丁目店
",東京都荒川区南千住5-43-12,"{'lat': 35.7355802, 'lng': 139.7968647}"
"
ローソンストア100 LS荒川西尾久三丁目店
",東京都荒川区西尾久3-21-12,"{'lat': 35.7509447, 'lng': 139.7617627}"
"
ローソンストア100 LS町屋店
",東京都荒川区荒川7-35-7,"{'lat': 35.7408361, 'lng': 139.779982}"
"
ローソンストア100 LS東尾久店
",東京都荒川区東尾久5-29-5,"{'lat': 35.7452163, 'lng': 139.7655547}"
"
ローソンストア100 LS荒川町屋一丁目店
",東京都荒川区町屋1-5-4,"{'lat': 35.7447362, 'lng': 139.7820829}"
"
ローソン 泪橋店
",東京都荒川区南千住3-4-23,"{'lat': 35.7296342, 'lng': 139.7994627}"
"
ローソン・スリーエフ 荒川五丁目店
",東京都荒川区荒川5-51-7,"{'lat': 35.7405856, 'lng': 139.7741696}"
"
ローソン・スリーエフ 荒川西尾久店
",東京都荒川区西尾久7-28-1,"{'lat': 35.7495242, 'lng': 139.7554351}"
"
ファミリーマート 兼升西尾久店
",東京都荒川区西尾久7-5-8,"{'lat': 35.750527, 'lng': 139.7575285}"
"
ファミリーマート ワタナベ南千住店
",東京都荒川区南千住7-1-1アクレスティ南千住111,"{'lat': 35.7333237, 'lng': 139.7980099}"
"
ファミリーマート 西日暮里一丁目店
",東京都荒川区西日暮里1-60-8,"{'lat': 35.7345704, 'lng': 139.7715676}"
"
ファミリーマート 西尾久二丁目店
",東京都荒川区西尾久2-14-11,"{'lat': 35.7474341, 'lng': 139.7627747}"
"
ファミリーマート 町屋店
",東京都荒川区荒川6-1-5,"{'lat': 35.7403419, 'lng': 139.7787553}"
"
ファミリーマート 荒川尾竹橋店
",東京都荒川区町屋7-1-10,"{'lat': 35.75029720000001, 'lng': 139.7858103}"
"
ファミリーマート 町屋一丁目店
",東京都荒川区町屋1-9-10,"{'lat': 35.7468397, 'lng': 139.7834005}"
"
ファミリーマート 西日暮里四丁目店
",東京都荒川区西日暮里4-21-3,"{'lat': 35.7315529, 'lng': 139.7647529}"
"
ファミリーマート 町屋八丁目店
",東京都荒川区町屋8丁目13-10,"{'lat': 35.7488315, 'lng': 139.7865487}"
"
ファミリーマート 町屋二丁目店
",東京都荒川区町屋2丁目2-21第二小田ビル,"{'lat': 35.7435636, 'lng': 139.7809356}"
"
ファミリーマート 南千住一丁目店
",東京都荒川区南千住1-57-1,"{'lat': 35.7347684, 'lng': 139.7926616}"
"
ファミリーマート 町屋駅店
",東京都荒川区荒川7-40-6,"{'lat': 35.7421026, 'lng': 139.7811883}"
"
ファミリーマート 日暮里駅ホーム店
",東京都荒川区西日暮里2丁目,"{'lat': 35.730653, 'lng': 139.7715977}"
"
ファミリーマート 南千住五丁目店
",東京都荒川区南千住5丁目29-12,"{'lat': 35.7312619, 'lng': 139.7956335}"
"
ファミリーマート 薬ヒグチ日暮里店
",東京都荒川区東日暮里5丁目51-11 静屋ビル,"{'lat': 35.7280086, 'lng': 139.7724841}"
"
ファミリーマート 東日暮里六丁目店
",東京都荒川区東日暮里6-18-7,"{'lat': 35.7288302, 'lng': 139.776768}"
"
ファミリーマート 新三河島駅前店
",東京都荒川区西日暮里6-6-11,"{'lat': 35.7375664, 'lng': 139.7723525}"
"
ファミリーマート 日暮里店
",東京都荒川区西日暮里2丁目17番5号,"{'lat': 35.7291508, 'lng': 139.7719458}"
"
ファミリーマート 荒川六丁目店
",東京都荒川区荒川6-40-5,"{'lat': 35.7435276, 'lng': 139.7767171}"
"
ファミリーマート 三ノ輪橋店
",東京都荒川区南千住1-15-4,"{'lat': 35.7321887, 'lng': 139.792415}"
"
ファミリーマート 西尾久一丁目店
",東京都荒川区西尾久1丁目11-8,"{'lat': 35.7447977, 'lng': 139.7640374}"
"
ファミリーマート 南千住八丁目店
",東京都荒川区南千住8-4-5,"{'lat': 35.737741, 'lng': 139.8075253}"
"
ファミリーマート 日暮里駅構内店
",東京都荒川区西日暮里2丁目19-1,"{'lat': 35.7279344, 'lng': 139.7707191}"
"
ファミリーマート 荒川東尾久店
",東京都荒川区東尾久3丁目8-14,"{'lat': 35.7458046, 'lng': 139.7733576}"
"
ファミリーマート 丸善日暮里店
",東京都荒川区東日暮里6丁目38-11,"{'lat': 35.7312934, 'lng': 139.7746906}"
"
ファミリーマート 西日暮里二丁目店
",東京都荒川区西日暮里2丁目29-6,"{'lat': 35.7300003, 'lng': 139.7719144}"
"
ファミリーマート 日暮里駅前店
",東京都荒川区東日暮里5丁目52-2,"{'lat': 35.7276669, 'lng': 139.7720214}"
"
ファミリーマート 南千住四丁目店
",東京都荒川区南千住4丁目9-1,"{'lat': 35.7358715, 'lng': 139.8029573}"
"
ミニストップ 西尾久店
",東京都荒川区西尾久7-25-1,"{'lat': 35.7477206, 'lng': 139.7551302}"
"
ミニストップ 荒川1丁目店
",東京都荒川区荒川1丁目18-14,"{'lat': 35.7357309, 'lng': 139.7875812}"
"
ミニストップ 西尾久2丁目店
",東京都荒川区西尾久2-30-13,"{'lat': 35.7483103, 'lng': 139.7622449}"
"
ミニストップ 舎人ライナー日暮里駅店
",東京都荒川区西日暮里2丁目19番2号,"{'lat': 35.7289596, 'lng': 139.771398}"
"
セブンイレブン 荒川西日暮里1丁目店
",東京都荒川区西日暮里1丁目2-6,"{'lat': 35.7361471, 'lng': 139.7767045}"
"
セブンイレブン 南千住6丁目店
",東京都荒川区南千住6-24-13,"{'lat': 35.7359516, 'lng': 139.7896052}"
"
セブンイレブン 荒川店
",東京都荒川区荒川3-52-4,"{'lat': 35.735989, 'lng': 139.7795717}"
"
セブンイレブン 荒川東日暮里1丁目店
",東京都荒川区東日暮里1丁目36-3,"{'lat': 35.730249, 'lng': 139.7873049}"
"
セブンイレブン 西日暮里六丁目店
",東京都荒川区西日暮里6-51-6,"{'lat': 35.7366124, 'lng': 139.7686393}"
"
セブンイレブン 熊の前店
",東京都荒川区東尾久8-31-2,"{'lat': 35.74959, 'lng': 139.7683458}"
"
セブンイレブン 東尾久店
",東京都荒川区東尾久2-44-11,"{'lat': 35.7438531, 'lng': 139.7693498}"
"
セブンイレブン 荒川南千住7丁目南店
",東京都荒川区南千住7丁目28-2,"{'lat': 35.7337358, 'lng': 139.7988196}"
"
セブンイレブン 荒川町屋店
",東京都荒川区町屋2-8-4,"{'lat': 35.7433026, 'lng': 139.7796922}"
"
セブンイレブン 三河島駅前店
",東京都荒川区東日暮里6-1-1,"{'lat': 35.732931, 'lng': 139.7785106}"
"
セブンイレブン 荒川新三河島駅前店
",東京都荒川区荒川5-18-4,"{'lat': 35.7378114, 'lng': 139.773537}"
