Name,Address,Location
"
NEWDAYS(ニューデイズ) 新小岩4号店
",東京都葛飾区新小岩1-45-1 新小岩駅緩行ホーム内(両国寄り),"{'lat': 35.7174462, 'lng': 139.8586312}"
"
NEWDAYS(ニューデイズ) 新小岩北口店
",東京都葛飾区西新小岩1 新小岩駅北口改札外正面,"{'lat': 35.71824, 'lng': 139.8579}"
"
NEWDAYSMINI(ニューデイズミニ) 新小岩1号店
",東京都葛飾区西新小岩1 新小岩駅改札外,"{'lat': 35.7174462, 'lng': 139.8586312}"
"
NEWDAYSMINI(ニューデイズミニ) 金町1号店
",東京都葛飾区金町6-4 金町駅常磐線ホーム内(上野方面),"{'lat': 35.769538, 'lng': 139.870476}"
"
NEWDAYSMINI(ニューデイズミニ) 亀有1号店
",東京都葛飾区亀有3-25-1 亀有駅常磐線ホーム内(上野方面),"{'lat': 35.7666832, 'lng': 139.8476282}"
"
NEWDAYS(ニューデイズ) 亀有店
",東京都葛飾区亀有3-25-1 亀有駅北口,"{'lat': 35.7665375, 'lng': 139.8475334}"
"
ポプラ 西新小岩店
",東京都葛飾区西新小岩4-29-7,"{'lat': 35.7204466, 'lng': 139.8529337}"
"
スリーエイト 西水元店
",東京都葛飾区西水元3-27-3,"{'lat': 35.789632, 'lng': 139.8502905}"
"
駅売店 MiNi SHOP(ミニショップ) 堀切菖蒲園駅店
",東京都葛飾区堀切5-1-1 堀切菖蒲園駅 上りホーム,"{'lat': 35.7476203, 'lng': 139.8274499}"
"
駅売店 MiNi SHOP(ミニショップ) お花茶屋駅店
",東京都葛飾区宝町2-37-1 お花茶屋駅 改札外コンコース,"{'lat': 35.7475947, 'lng': 139.8401476}"
"
駅売店 MiNi SHOP(ミニショップ) 青砥駅店
",東京都葛飾区青戸3-36-1 青砥駅 改札外コンコース、上下線ホーム,"{'lat': 35.7457839, 'lng': 139.8562185}"
"
駅売店 MiNi SHOP(ミニショップ) 京成高砂駅店
",東京都葛飾区高砂5-28-1 京成高砂駅 改札内コンコース,"{'lat': 35.7509628, 'lng': 139.8675536}"
"
駅売店 MiNi SHOP(ミニショップ) 四ツ木駅店
",東京都葛飾区四つ木1-1-1 四ツ木駅 改札前,"{'lat': 35.7318394, 'lng': 139.8349402}"
"
駅売店 MiNi SHOP(ミニショップ) 京成立石駅店
",東京都葛飾区立石4-24-1 京成立石駅 上りホーム,"{'lat': 35.7382794, 'lng': 139.8485954}"
"
セブンイレブン 葛飾小菅1丁目店
",東京都葛飾区小菅1丁目36-5,"{'lat': 35.7571551, 'lng': 139.8186831}"
"
ヒロマルチェーン堀切店
",東京都葛飾区堀切2-22-19,"{'lat': 35.7417771, 'lng': 139.827631}"
"
ファリコあきたや
",東京都葛飾区高砂3-2-20,"{'lat': 35.7481083, 'lng': 139.8688253}"
"
有限会社田中米作商店
",東京都葛飾区亀有2-26-17,"{'lat': 35.7597386, 'lng': 139.8506479}"
"
Yショップフクヤ
",東京都葛飾区宝町2-5-22,"{'lat': 35.7465694, 'lng': 139.8340728}"
"
ローソン 西新小岩一丁目店
",東京都葛飾区西新小岩1-3-15,"{'lat': 35.7172832, 'lng': 139.8568202}"
"
ローソン 堀切店
",東京都葛飾区堀切2-65-17,"{'lat': 35.7437908, 'lng': 139.8324821}"
"
ローソン 水元中央通店
",東京都葛飾区南水元4-11-7,"{'lat': 35.7803353, 'lng': 139.8623516}"
"
ローソン 新小岩二丁目店
",東京都葛飾区新小岩2-1-1,"{'lat': 35.7169656, 'lng': 139.8595424}"
"
ローソン 東金町一丁目店
",東京都葛飾区東金町1-6-5,"{'lat': 35.7718967, 'lng': 139.8657806}"
"
ローソン 水元四丁目店
",東京都葛飾区水元4-25-12,"{'lat': 35.7857011, 'lng': 139.8649969}"
"
ローソン 葛飾奥戸四丁目店
",東京都葛飾区奥戸4-19-16,"{'lat': 35.7274032, 'lng': 139.8682127}"
"
ローソン 白鳥四丁目店
",東京都葛飾区白鳥4-14-3,"{'lat': 35.753334, 'lng': 139.8460251}"
"
ローソン 青砥駅北口店
",東京都葛飾区青戸3-38-1,"{'lat': 35.745816, 'lng': 139.8551103}"
"
ローソン 立石一丁目店
",東京都葛飾区立石1-20-11,"{'lat': 35.7372968, 'lng': 139.8494742}"
"
ローソン 慈恵医大葛飾医療センター店
",東京都葛飾区青戸6-41-2,"{'lat': 35.7521472, 'lng': 139.8583838}"
"
ローソン 小菅四丁目店
",東京都葛飾区小菅4-5-5,"{'lat': 35.7597663, 'lng': 139.8242992}"
"
ローソン 青戸六丁目店
",東京都葛飾区青戸6-7-17,"{'lat': 35.749819, 'lng': 139.856575}"
"
ローソン 葛飾橋店
",東京都葛飾区東金町5-37-1,"{'lat': 35.7774306, 'lng': 139.8806164}"
"
ローソン 細田三丁目店
",東京都葛飾区細田3-26-10,"{'lat': 35.740552, 'lng': 139.8703262}"
"
ローソン 葛飾金町一丁目店
",東京都葛飾区金町1-14-4,"{'lat': 35.7615243, 'lng': 139.867686}"
"
ローソン 東新小岩一丁目店
",東京都葛飾区東新小岩1-3-1,"{'lat': 35.7185382, 'lng': 139.8579386}"
"
ローソンストア100 LS葛飾堀切二丁目店
",東京都葛飾区堀切2-36-6,"{'lat': 35.7458298, 'lng': 139.8267886}"
"
ローソンストア100 LS葛飾新小岩二丁目店
",東京都葛飾区新小岩2-2-26,"{'lat': 35.7175669, 'lng': 139.8607726}"
"
ローソンストア100 LS亀有南口店
",東京都葛飾区亀有2-61-5,"{'lat': 35.7627783, 'lng': 139.8492634}"
"
ローソンストア100 LS立石六丁目店
",東京都葛飾区立石6-30-8サンリブ青戸,"{'lat': 35.7442038, 'lng': 139.8531669}"
"
ローソンストア100 LS四つ木店
",東京都葛飾区四つ木2-18-4モリス四つ木,"{'lat': 35.7378697, 'lng': 139.8375491}"
"
ローソンストア100 LS金町店
",東京都葛飾区金町6-1-6ライオンズマンション金町第2,"{'lat': 35.7673994, 'lng': 139.8711663}"
"
ローソンストア100 LS葛飾東金町店
",東京都葛飾区東金町2-18-8,"{'lat': 35.7722966, 'lng': 139.8687729}"
"
ローソンストア100 LS東新小岩店
",東京都葛飾区東新小岩5-14-1,"{'lat': 35.7223955, 'lng': 139.8540378}"
"
ローソンストア100 LS西水元店
",東京都葛飾区西水元6-16-2,"{'lat': 35.7884514, 'lng': 139.8568964}"
"
ローソンストア100 東堀切店
",東京都葛飾区東堀切1-20-16,"{'lat': 35.7493847, 'lng': 139.8369153}"
"
ローソンストア100 LS葛飾青戸八丁目店
",東京都葛飾区青戸8-3-8,"{'lat': 35.7562157, 'lng': 139.84954}"
"
ローソンストア100 LS柴又駅前店
",東京都葛飾区柴又4-9-2,"{'lat': 35.7565518, 'lng': 139.8757432}"
"
ローソンストア100 LS葛飾東堀切二丁目店
",東京都葛飾区東堀切2-10-4,"{'lat': 35.7537977, 'lng': 139.8338937}"
"
ローソンストア100 LS西新小岩四丁目店
",東京都葛飾区西新小岩4-39-21,"{'lat': 35.7201595, 'lng': 139.8557422}"
"
ローソンストア100 LS東新小岩二丁目店
",東京都葛飾区東新小岩2-8-1,"{'lat': 35.7249268, 'lng': 139.86542}"
"
ローソン 葛飾亀有四丁目店
",東京都葛飾区亀有4-4-11,"{'lat': 35.7603886, 'lng': 139.8451481}"
"
ローソン 葛飾新宿五丁目店
",東京都葛飾区新宿5-17-5,"{'lat': 35.7660932, 'lng': 139.8607076}"
"
ローソンストア100 南水元四丁目店
",東京都葛飾区南水元4-4-19,"{'lat': 35.7782799, 'lng': 139.8621461}"
"
ローソン 葛飾奥戸八丁目店
",東京都葛飾区奥戸8-26-12,"{'lat': 35.73915, 'lng': 139.864372}"
"
ローソン・スリーエフ 葛飾堀切七丁目店
",東京都葛飾区堀切7-22-28,"{'lat': 35.7552228, 'lng': 139.8311439}"
"
ローソンストア100 LS葛飾立石七丁目店
",東京都葛飾区立石7-10-21,"{'lat': 35.7417491, 'lng': 139.8487416}"
"
ファミリーマート 吉川金町店
",東京都葛飾区金町5-29-24,"{'lat': 35.7663461, 'lng': 139.8686661}"
"
ファミリーマート 奥戸五丁目店
",東京都葛飾区奥戸5-1-1,"{'lat': 35.7310038, 'lng': 139.8637789}"
"
ファミリーマート 立石五丁目店
",東京都葛飾区立石5-18,"{'lat': 35.7447224, 'lng': 139.8443292}"
"
ファミリーマート 亀有三丁目店
",東京都葛飾区亀有3-9-7,"{'lat': 35.7650861, 'lng': 139.8475786}"
"
ファミリーマート 高砂五丁目店
",東京都葛飾区高砂5丁目37-9,"{'lat': 35.7518794, 'lng': 139.8682847}"
"
ファミリーマート 西水元五丁目店
",東京都葛飾区西水元5丁目-1-12,"{'lat': 35.783465, 'lng': 139.8539623}"
"
ファミリーマート 東金町一丁目店
",東京都葛飾区東金町1丁目24-1,"{'lat': 35.7700122, 'lng': 139.869489}"
"
ファミリーマート 東堀切一丁目店
",東京都葛飾区東堀切1丁目12番2号,"{'lat': 35.7480045, 'lng': 139.8332528}"
"
ファミリーマート 東水元二丁目店
",東京都葛飾区東水元2丁目7番5号,"{'lat': 35.7768586, 'lng': 139.8711863}"
"
ファミリーマート お花茶屋二丁目店
",東京都葛飾区お花茶屋2丁目3番2号,"{'lat': 35.7526558, 'lng': 139.8392767}"
"
ファミリーマート 葛飾亀有四丁目南店
",東京都葛飾区亀有4丁目1番8号,"{'lat': 35.758482, 'lng': 139.843705}"
"
ファミリーマート 小菅四丁目店
",東京都葛飾区小菅4丁目16番8号,"{'lat': 35.7603675, 'lng': 139.8254624}"
"
ファミリーマート 葛飾鎌倉三丁目店
",東京都葛飾区鎌倉3丁目18-7,"{'lat': 35.7505398, 'lng': 139.8767798}"
"
ファミリーマート 東立石四丁目店
",東京都葛飾区東立石4-16-11,"{'lat': 35.7335995, 'lng': 139.8504675}"
"
ファミリーマート 青砥駅店
",東京都葛飾区青戸3-36-1,"{'lat': 35.7458987, 'lng': 139.8562988}"
"
ファミリーマート お花茶屋駅店
",東京都葛飾区宝町2-37-1,"{'lat': 35.7475947, 'lng': 139.8401476}"
"
ファミリーマート 西亀有二丁目店
",東京都葛飾区西亀有2-43-12,"{'lat': 35.7602816, 'lng': 139.8353707}"
"
ファミリーマート 金町六丁目店
",東京都葛飾区金町6丁目2-1,"{'lat': 35.7681031, 'lng': 139.8711694}"
"
ファミリーマート 金町駅前店
",東京都葛飾区金町6-4-1,"{'lat': 35.7689978, 'lng': 139.8699413}"
"
ファミリーマート 堀切六丁目店
",東京都葛飾区堀切6-11-20,"{'lat': 35.7511726, 'lng': 139.8319343}"
"
ファミリーマート 青戸四丁目店
",東京都葛飾区青戸4丁目7番17号,"{'lat': 35.7481482, 'lng': 139.8498614}"
"
ファミリーマート 新小岩ルミエール店
",東京都葛飾区新小岩1丁目48-1,"{'lat': 35.7159131, 'lng': 139.8594061}"
"
ファミリーマート 小菅三丁目店
",東京都葛飾区小菅3丁目18番9号,"{'lat': 35.7554382, 'lng': 139.8274079}"
"
ファミリーマート 奥戸七丁目店
",東京都葛飾区奥戸7丁目3-8,"{'lat': 35.7346155, 'lng': 139.8654344}"
"
ファミリーマート 西新小岩一丁目店
",東京都葛飾区西新小岩1丁目-9-7,"{'lat': 35.7182462, 'lng': 139.8577462}"
"
ファミリーマート 新小岩駅南口店
",東京都葛飾区新小岩1-48-8,"{'lat': 35.7164798, 'lng': 139.8592981}"
"
ファミリーマート 立石三丁目店
",東京都葛飾区立石3-1-2,"{'lat': 35.7374263, 'lng': 139.8431416}"
"
ファミリーマート 亀有北口店
",東京都葛飾区亀有5ー45ー1,"{'lat': 35.7673928, 'lng': 139.8491243}"
"
ファミリーマート 堀切店
",東京都葛飾区堀切4丁目58番18号ニュー美藤マンション,"{'lat': 35.7492305, 'lng': 139.8273172}"
"
ファミリーマート 葛飾水元店
",東京都葛飾区南水元2丁目21-11,"{'lat': 35.7798234, 'lng': 139.8580795}"
"
ファミリーマート 葛飾たつみ橋店
",東京都葛飾区東新小岩1丁目4-5,"{'lat': 35.719234, 'lng': 139.857286}"
"
ファミリーマート お花茶屋店
",東京都葛飾区お花茶屋1丁目19,"{'lat': 35.7480648, 'lng': 139.8404906}"
"
ファミリーマート 金町南口店
",東京都葛飾区金町6丁目4-2ラヴィクレ-ル1-1,"{'lat': 35.76911, 'lng': 139.872384}"
"
ファミリーマート 亀有五丁目店
",東京都葛飾区亀有5丁目27番8号起ビル1階,"{'lat': 35.7689456, 'lng': 139.8469793}"
"
ファミリーマート 青砥駅前店
",東京都葛飾区青戸3丁目39番15号,"{'lat': 35.7452806, 'lng': 139.8554552}"
"
ファミリーマート 立石駅前店
",東京都葛飾区立石1-22-4,"{'lat': 35.7383092, 'lng': 139.8495075}"
"
ファミリーマート 白鳥四丁目店
",東京都葛飾区白鳥4丁目22-17,"{'lat': 35.7552874, 'lng': 139.8495872}"
"
ファミリーマート 京成四ツ木駅店
",東京都葛飾区東四つ木4丁目14-1先,"{'lat': 35.7317876, 'lng': 139.8350524}"
"
ファミリーマート 京成高砂駅店
",東京都葛飾区高砂5丁目28-1,"{'lat': 35.7509413, 'lng': 139.867326}"
"
ファミリーマート 京成金町駅店
",東京都葛飾区金町5丁目37-9,"{'lat': 35.7686167, 'lng': 139.870469}"
"
ファミリーマート 新小岩一丁目店
",東京都葛飾区新小岩1丁目29-8,"{'lat': 35.7157838, 'lng': 139.8578467}"
"
ファミリーマート 葛飾立石六丁目店
",東京都葛飾区立石6丁目34-15,"{'lat': 35.7420082, 'lng': 139.8529882}"
"
ミニストップ 堀切菖蒲園店
",東京都葛飾区堀切3-6-1,"{'lat': 35.7468267, 'lng': 139.8272007}"
"
ミニストップ 東四つ木店
",東京都葛飾区東四つ木4-47-6,"{'lat': 35.7339575, 'lng': 139.8427265}"
"
ミニストップ 金町駅北口店
",東京都葛飾区東金町1-37-2,"{'lat': 35.7708117, 'lng': 139.8710813}"
"
ミニストップ 西水元2丁目店
",東京都葛飾区西水元2-21-16,"{'lat': 35.7858845, 'lng': 139.8529051}"
"
ミニストップ 南水元4丁目店
",東京都葛飾区南水元4丁目26番29号,"{'lat': 35.7789305, 'lng': 139.866726}"
"
ミニストップ 立石5丁目店
",東京都葛飾区立石5-11-22,"{'lat': 35.7423061, 'lng': 139.846826}"
"
ミニストップ 堀切8丁目店
",東京都葛飾区堀切8-23-25,"{'lat': 35.7576688, 'lng': 139.8311557}"
"
ミニストップ 葛飾スポーツセンター前店
",東京都葛飾区奥戸7丁目7-1,"{'lat': 35.7355208, 'lng': 139.8632001}"
"
ミニストップ 高砂駅南口店
",東京都葛飾区高砂3丁目9番9号 レジデンス高砂1階,"{'lat': 35.7500244, 'lng': 139.8690261}"
"
ミニストップ 宝町2丁目店
",東京都葛飾区宝町2丁目22番17号,"{'lat': 35.74709000000001, 'lng': 139.837563}"
"
ミニストップ 青戸5丁目店
",東京都葛飾区青戸5-7-3,"{'lat': 35.75108609999999, 'lng': 139.8525084}"
"
ミニストップ 新小岩4丁目店
",東京都葛飾区新小岩4丁目33番11号,"{'lat': 35.7199752, 'lng': 139.866966}"
"
ミニストップ 亀有駅東店
",東京都葛飾区亀有3丁目44-9,"{'lat': 35.7672249, 'lng': 139.8507974}"
"
セブンイレブン 葛飾青戸3丁目店
",東京都葛飾区青戸3丁目34-7,"{'lat': 35.7469933, 'lng': 139.8563607}"
"
セブンイレブン 葛飾四つ木5丁目店
",東京都葛飾区四つ木5-3-11,"{'lat': 35.73992, 'lng': 139.838847}"
"
セブンイレブン 葛飾青戸4丁目店
",東京都葛飾区青戸4-27,"{'lat': 35.752288, 'lng': 139.8510473}"
"
セブンイレブン 葛飾新柴又駅前店
",東京都葛飾区柴又5-7-8,"{'lat': 35.75122959999999, 'lng': 139.8794479}"
