Name,Address,lat,lon
"
清林堂
",東京都新宿区西新宿6丁目4-1,35.6938922,139.69321
"
リーベンハウス新宿NSビル店
",東京都新宿区西新宿2丁目4-1,35.6880367,139.6935125
"
リーベンハウス新宿オークタワー店
",東京都新宿区西新宿6丁目8-1,35.6914828,139.687176
"
生活彩家ヒルトピア店
",東京都新宿区西新宿6-6-2,35.692724,139.6912126
"
ニューデイズ新宿
",東京都新宿区新宿3丁目38-1,35.6912132,139.701106
"
リーベンハウス新宿ガーデンタワー店
",東京都新宿区大久保3丁目8-2,35.7089698,139.7032107
"
リーベンハウス新宿住友ビル店
",東京都新宿区西新宿2丁目6-1,35.6912129,139.6923608
"
NEWDAYS(ニューデイズ) 新宿33号店
",東京都新宿区新宿3 新宿駅11・12番線ホーム内(立川寄り),35.6896067,139.7005713
"
LAWSON(ローソン) 西新宿七丁目店
",東京都新宿区西新宿7-7-30,35.6969343,139.6976806
"
生活彩家 新宿区役所店
",東京都新宿区歌舞伎町1-4-1 新宿区役所内,35.6937345,139.7032569
"
Mマート西新宿店
",東京都新宿区西新宿7-5-25,35.6974713,139.6985875
"
NEWDAYS(ニューデイズ) 新宿50号店
",東京都新宿区新宿3-38-2 新宿南口改札内,35.6897244,139.7009133
"
NEWDAYS(ニューデイズ) 新宿12号店
",東京都新宿区新宿3-38-2 新宿駅南口改札内コンコース中央,35.6896067,139.7005713
"
NEWDAYS(ニューデイズ) 新宿36号店
",東京都新宿区新宿3-38-2 新宿駅中央線下りホーム9・10番線中野寄り,35.6896067,139.7005713
"
NEWDAYS(ニューデイズ) 新宿東口店
",東京都新宿区新宿3-38-2 新宿駅東口改札内北通路,35.6896067,139.7005713
"
NEWDAYS(ニューデイズ) 高田馬場1号店
",東京都新宿区高田馬場1-35-2 高田馬場駅改札外正面,35.7125654,139.7038615
"
NEWDAYSMINI(ニューデイズミニ) 四ッ谷4号店
",東京都新宿区四谷1 四ッ谷駅赤坂口改札外,35.6861525,139.7302183
"
NEWDAYS(ニューデイズ) 高田馬場店
",東京都新宿区高田馬場1 高田馬場駅早稲田口改札内,35.7125654,139.7038615
"
NEWDAYSMINI(ニューデイズミニ) 大久保1号店
",東京都新宿区百人町1 大久保駅西口改札,35.7006865,139.697381
"
NEWDAYS(ニューデイズ) 信濃町
",東京都新宿区信濃町 JR信濃町駅 改札外・正面,35.6800602,139.7203199
"
NEWDAYSMINI(ニューデイズミニ) 四ツ谷2号店
",東京都新宿区四谷1 四ッ谷駅構内麹町口コンコース,35.6861525,139.7302183
"
ポプラ 東大久保店
",東京都新宿区新宿6-24-16,35.6974914,139.7104328
"
ポプラ ドンチッチ市ヶ谷店
",東京都新宿区本塩町21-14 カーサー四谷1F,35.6908714,139.7302197
"
生活彩家 KDDI新宿店
",東京都新宿区西新宿2-3-3 KDDIビルアネックス1F,35.6879235,139.6948068
"
生活彩家 新宿京王プラザホテル店
",東京都新宿区西新宿2-2-1 京王プラザホテル南館2F,35.6895997,139.6946074
"
生活彩家 新宿パークタワー店
",東京都新宿区西新宿3-7 新宿パークタワーB1F,35.6855404,139.6910923
"
生活彩家 OPハーモニー店
",東京都新宿区西新宿3-20-2 東京オペラシティタワ-18F,35.6829523,139.6867262
"
ファミリーマート 高田馬場早稲田通り店
",東京都新宿区高田馬場1-6-16,35.7116636,139.7079046
"
ナチュラルローソンミライナタワー店
",東京都新宿区新宿4-1-6,35.6887453,139.701835
"
ローソン 新宿富久町店
",東京都新宿区富久町8-22,35.6912024,139.7178871
"
ローソン 新宿一丁目店
",東京都新宿区新宿1-26-6,35.6909392,139.7143451
"
ローソン 西新宿一丁目店
",東京都新宿区西新宿1-19-13,35.68834440000001,139.6969367
"
ローソン 新宿山吹町店
",東京都新宿区山吹町265-6,35.70762879999999,139.7314663
"
ローソン 若松町店
",東京都新宿区若松町11-1,35.6992662,139.7176539
"
ローソン 西早稲田二丁目店
",東京都新宿区西早稲田2-11-12 八百板ビル,35.7099406,139.7131175
"
ローソン 四谷一丁目店
",東京都新宿区四谷1-23-6,35.6873319,139.7276899
"
ローソン 四谷左門町店
",東京都新宿区左門町6-8,35.6862216,139.7204789
"
ローソン 早稲田町店
",東京都新宿区早稲田町74,35.7057964,139.7228336
"
ローソン 百人町二丁目店
",東京都新宿区百人町2-22-12,35.7043199,139.6972638
"
ローソン 新小川町店
",東京都新宿区新小川町6-40,35.7067535,139.7430237
"
ローソン 新宿御苑駅前店
",東京都新宿区新宿1-9-4,35.6884654,139.7122314
"
ローソン 市谷薬王寺町店
",東京都新宿区市谷薬王寺町61,35.6962815,139.7255079
"
ローソン 新宿馬場下町店
",東京都新宿区馬場下町61-6,35.7060787,139.7202365
"
ローソン 新宿下宮比町店
",東京都新宿区下宮比町2-3,35.702958,139.7435117
"
ローソン 新宿医大通店
",東京都新宿区新宿5-11-13,35.69332480000001,139.70716
"
ローソン 歌舞伎町二丁目西店
",東京都新宿区歌舞伎町2-26-10,35.6955933,139.7033232
"
ローソン 新宿センタービル西店
",東京都新宿区西新宿1-25-1-B1,35.6920011,139.6954109
"
ローソン 北新宿一丁目店
",東京都新宿区北新宿1-29-10,35.7015922,139.6907825
"
ローソン 新宿荒木町店
",東京都新宿区荒木町17-1,35.691705,139.7237432
"
ローソン 新宿センタービル店
",東京都新宿区西新宿1-25-1,35.6920011,139.6954109
"
ローソン 新宿水道町店
",東京都新宿区水道町3-2,35.7087726,139.7358025
"
ローソン 新宿靖国通店
",東京都新宿区歌舞伎町1-1-16,35.6931274,139.7043841
"
ローソン 西武新宿駅北口店
",東京都新宿区歌舞伎町1-30-1,35.6943605,139.7002697
"
ローソン 京王プレッソイン新宿店
",東京都新宿区西新宿3-4-5,35.6857843,139.6925204
"
ナチュラルローソン 飯田橋メトロピア店
",東京都新宿区神楽坂1-13 有楽町線飯田橋駅構内,35.7017835,139.7435764
"
ナチュラルローソン 西新宿七丁目店
",東京都新宿区西新宿7-20-3,35.6939261,139.695242
"
ナチュラルローソン 新宿駅西店
",東京都新宿区西新宿1-13-12,35.6898548,139.6966836
"
ナチュラルローソン 東京女子医大病院店
",東京都新宿区河田町8-1,35.6970201,139.7199051
"
ナチュラルローソン 新宿フロントタワー店
",東京都新宿区北新宿2-21-1,35.6960922,139.6893937
"
ローソン 東京女子医大西病棟店
",東京都新宿区河田町8-1西病棟1階,35.6970201,139.7199051
"
ナチュラルローソン 東京女子医大外来棟店
",東京都新宿区河田町8-1総合外来センター1階,35.6988829,139.7206588
"
ローソン H落合南長崎駅前店
",東京都新宿区西落合3-1-16,35.722967,139.6832887
"
ローソン シタディーンセントラル新宿店
",東京都新宿区歌舞伎町1-2-9,35.6944059,139.7042892
"
ローソン H西新宿店
",東京都新宿区西新宿1-23-1,35.6897701,139.696162
"
ローソン 新宿区役所通店
",東京都新宿区歌舞伎町2-18-5,35.6972414,139.7051862
"
ローソン 新宿三丁目北店
",東京都新宿区新宿3-13-5,35.6921333,139.7058476
"
ローソン 都営東新宿駅前店
",東京都新宿区歌舞伎町2-3-16,35.6978033,139.7071298
"
ローソン 西新宿小滝橋通店
",東京都新宿区西新宿7-10-19,35.6943706,139.698652
"
ローソン 新大久保店
",東京都新宿区大久保1-6-12,35.700905,139.7058632
"
ローソン 西新宿三丁目店
",東京都新宿区西新宿3-8-5新栄ビル,35.6852857,139.6895833
"
ローソンストア100 LS新宿住吉町店
",東京都新宿区住吉町8-22,35.6933588,139.7216602
"
ローソン 新宿三丁目中央通店
",東京都新宿区新宿3-34-11,35.6905531,139.7027696
"
ローソン 新宿大久保二丁目店
",東京都新宿区大久保2-4-12新宿ラムダックスビル,35.7040227,139.7082899
"
ローソン 新宿イーストサイドスクエア店
",東京都新宿区新宿6-27-30 B1F,35.6969819,139.7086045
"
ローソンサテライト 新宿イーストサイドスクエア店
",東京都新宿区新宿6-27-30 1F,35.6966848,139.7086917
"
ローソン 歌舞伎町一丁目店
",東京都新宿区歌舞伎町1-12-6,35.6951422,139.702545
"
ローソン 新宿上落合店
",東京都新宿区上落合1-16-3,35.7154897,139.6941278
"
ローソン 新宿坂町店
",東京都新宿区四谷坂町12-12,35.6917641,139.726148
"
ローソン 新宿三丁目駅前店
",東京都新宿区新宿2-13-10,35.6904564,139.7084305
"
ローソン 市谷仲之町店
",東京都新宿区市谷仲之町4-46,35.6947797,139.7244492
"
ローソン H新宿中井店
",東京都新宿区中井1-10-8,35.7150387,139.6833622
"
ローソン H新宿下落合四丁目店
",東京都新宿区下落合4-27-3,35.7221337,139.6982179
"
ローソン 下落合二丁目店
",東京都新宿区下落合2-3-18,35.7165297,139.7030222
"
ローソン 西早稲田駅前店
",東京都新宿区西早稲田2-20-9,35.709245,139.7096379
"
ローソン 新宿西落合三丁目店
",東京都新宿区西落合3-28-7,35.7250606,139.6757573
"
ローソン 新宿新小川町店
",東京都新宿区新小川町8-9,35.7061176,139.7407337
"
ローソン 新宿御苑中央店
",東京都新宿区新宿1-8-5,35.6887955,139.7110547
"
ローソン 東新宿明治通店
",東京都新宿区新宿7-27-12,35.698873,139.707804
"
ローソン DNP市谷加賀町ビル店
",東京都新宿区市谷加賀町1-1-1,35.6956229,139.7310168
"
ローソンストア100 LS新宿早稲田通店
",東京都新宿区西早稲田2-18-18,35.7110272,139.7110127
"
ローソンストア100 LS新宿百人町四丁目店
",東京都新宿区百人町4-9-5,35.70933290000001,139.6941811
"
ローソンストア100 LS四谷二丁目店
",東京都新宿区四谷2-8,35.687252,139.724983
"
ローソンストア100 LS大久保二丁目店
",東京都新宿区大久保2-3-6,35.7040289,139.7088401
"
ローソンストア100 LS新宿五丁目店
",東京都新宿区新宿5-6-2,35.6919056,139.7094805
"
ローソンストア100 LS新宿一丁目店
",東京都新宿区新宿1-34-16,35.6912094,139.7112885
"
ローソンストア100 LS新大久保駅前店
",東京都新宿区百人町1-11-22リサビル,35.7011458,139.6997928
"
ローソンストア100 LS新宿百人町店
",東京都新宿区百人町1-17-6成田ビル,35.7015322,139.6974992
"
ローソンストア100 LS北新宿店
",東京都新宿区北新宿1-28-15サマリヤ中田ビル,35.7017677,139.6921305
"
ローソンストア100 LS早稲田鶴巻町店
",東京都新宿区早稲田鶴巻町522,35.7073782,139.7257354
"
ローソン LM 西新宿七丁目店
",東京都新宿区西新宿7-7-30,35.6969343,139.6976806
"
ローソンストア100 LS歌舞伎町二丁目店
",東京都新宿区歌舞伎町2-17-10,35.6979985,139.705447
"
ローソンストア100 LS西落合二丁目店
",東京都新宿区西落合2-5-9,35.7212761,139.6786271
"
ローソンストア100 LS新宿文化センター前店
",東京都新宿区新宿6-27-2,35.69603499999999,139.7095747
"
ローソンストア100 LS西新宿三丁目店
",東京都新宿区西新宿3-8-3,35.685568,139.6893679
"
ローソン 高田馬場駅通店
",東京都新宿区高田馬場1-34-8,35.7121327,139.7042384
"
ローソン 西新宿四丁目店
",東京都新宿区西新宿4-5-8,35.6897297,139.6845627
"
ローソン 新宿若松町店
",東京都新宿区若松町28-25,35.7006728,139.7189581
"
ローソン メトロス新宿東口店
",東京都新宿区西新宿1西口地下街1,35.6916813,139.6991394
"
ナチュラルローソン JR新宿ミライナタワー店
",東京都新宿区新宿4-1-6,35.6887453,139.701835
"
ローソン 飯田橋メトロピア店
",東京都新宿区神楽坂1-13,35.7010269,139.7426384
"
ローソン メトロス新宿西口店
",東京都新宿区西新宿1西口地下街1,35.6916813,139.6991394
"
ローソン H新宿御苑北店
",東京都新宿区新宿1-15-5,35.6896474,139.7101313
"
ナチュラルローソン 慶應義塾大学病院1号館店
",東京都新宿区信濃町35-1,35.68129649999999,139.7180923
"
ローソン 小滝橋店
",東京都新宿区北新宿4-8-18,35.7092759,139.6938208
"
ローソン・スリーエフ 大久保通店
",東京都新宿区大久保1-15-15,35.701027,139.7032632
"
ローソン・スリーエフ 新宿上落合一丁目店
",東京都新宿区上落合1-27-8,35.7123899,139.6900531
"
ナチュラルローソン NL東京医科大学病院店
",東京都新宿区西新宿6-7-1,35.693258,139.6916591
"
ナチュラルローソン NLS東京医科大学病院店
",東京都新宿区西新宿6-7-1,35.693258,139.6916591
"
ローソン 新宿曙橋店
",東京都新宿区住吉町7-5,35.6925653,139.7228255
"
ローソン クオール西新宿小滝橋通店
",東京都新宿区西新宿7-7-30,35.6969343,139.6976806
"
ローソン 神楽坂駅北店
",東京都新宿区赤城元町2-1,35.7042765,139.7358102
"
ローソン グランカスタマ歌舞伎町店
",東京都新宿区歌舞伎町2-37-1,35.6959898,139.7021226
"
ローソン 新宿四丁目店
",東京都新宿区新宿4-3-23,35.6895105,139.7042853
"
ファミリーマート 新宿御苑駅前店
",東京都新宿区新宿1-13-1,35.6889367,139.711891
"
ファミリーマート 東京医科大学前店
",東京都新宿区新宿6-6-1,35.6934735,139.7095545
"
ファミリーマート 市谷台町店
",東京都新宿区市谷台町14-1,35.6940011,139.7179203
"
ファミリーマート 西早稲田二丁目店
",東京都新宿区西早稲田2-5-16,35.7092754,139.71601
"
ファミリーマート 早稲田鶴巻町店
",東京都新宿区早稲田鶴巻町519,35.7077704,139.723911
"
ファミリーマート 新宿五丁目店
",東京都新宿区新宿5-18-14,35.69466740000001,139.7065575
"
ファミリーマート 新宿靖国通り店
",東京都新宿区新宿5-17-13オリエンタルウェーブビル,35.6929118,139.705258
"
ファミリーマート 新宿スポーツセンター店
",東京都新宿区大久保3-5-1新宿スポーツセンター1F,35.706966,139.705521
"
ファミリーマート 防衛省店
",東京都新宿区市谷本村町5-1防衛省本省 厚生棟 地下1階,35.6937878,139.7292086
"
ファミリーマート 新宿京王モールアネックス店
",東京都新宿区西新宿1丁目19,35.6882477,139.6970405
"
ファミリーマート 飯田橋店
",東京都新宿区揚場町2-18,35.7026869,139.7428142
"
ファミリーマート 上落合二丁目店
",東京都新宿区上落合2-29-6,35.7108309,139.6851279
"
ファミリーマート 新宿ワシントンホテル店
",東京都新宿区西新宿3-2-9ワシントンホテル,35.6869211,139.6933196
"
ファミリーマート 高田馬場二丁目店
",東京都新宿区高田馬場2-16-11,35.71440219999999,139.7054623
"
ファミリーマート 旧厚生年金会館前店
",東京都新宿区新宿5-2-3,35.69170130000001,139.7115548
"
ファミリーマート サンズ西新宿店
",東京都新宿区西新宿4-5-6IKビル,35.6895554,139.6843775
"
ファミリーマート 新宿三丁目店
",東京都新宿区新宿3-21-7 東新ビル,35.6930679,139.7023458
"
ファミリーマート 曙橋店
",東京都新宿区住吉町1-15,35.6921813,139.722346
"
ファミリーマート アイズ高田馬場店
",東京都新宿区高田馬場2-14-24,35.7134362,139.7073806
"
ファミリーマート 西新宿アトラスタワー店
",東京都新宿区西新宿6-25,35.6949789,139.6881063
"
ファミリーマート 新宿弁天町店
",東京都新宿区弁天町21,35.7046075,139.7267499
"
ファミリーマート 新宿東宝ビル前店
",東京都新宿区歌舞伎町1-14-7ハヤシビル,35.6945809,139.7021863
"
ファミリーマート 神楽坂店
",東京都新宿区神楽坂6-77,35.7022711,139.7374656
"
ファミリーマート 新宿信濃町店
",東京都新宿区信濃町8番外苑北SRCビル1F,35.6826985,139.7194088
"
ファミリーマート 早稲田大学店
",東京都新宿区西早稲田1-6-1,35.7083395,139.7197401
"
ファミリーマート 市谷本村町店
",東京都新宿区市谷本村町3番29号FORECAST市ヶ谷1階,35.6910897,139.7325912
"
ファミリーマート 歌舞伎町セントラルロード店
",東京都新宿区歌舞伎町1丁目16-6 第6ポールスタービル1階,35.6939556,139.7018051
"
ファミリーマート K2新宿駅西店
",東京都新宿区西新宿1丁目18番2 新宿第10大京ビル,35.6888529,139.6986586
"
ファミリーマート 東新宿店
",東京都新宿区新宿5-13-9,35.6947665,139.7076508
"
ファミリーマート 西新宿八丁目店
",東京都新宿区西新宿8丁目4-2,35.6945372,139.6933537
"
ファミリーマート 新宿要通り店
",東京都新宿区新宿3丁目2-4M&Eビル,35.6902702,139.7065346
"
ファミリーマート 御苑大通り店
",東京都新宿区新宿2丁目19-9新宿カドビル,35.691744,139.7073923
"
ファミリーマート メトロ高田馬場駅前店
",東京都新宿区高田馬場2丁目14-6 アライビル,35.7126631,139.7066759
"
ファミリーマート 新大久保店
",東京都新宿区百人町1-3-14,35.7011111,139.702043
"
ファミリーマート 新宿御苑駅西店
",東京都新宿区新宿2丁目7-1 不二川ビル,35.6894424,139.7084894
"
ファミリーマート 四谷三丁目駅前店
",東京都新宿区四谷3丁目7 宮子ビルディング,35.6882626,139.7210439
"
ファミリーマート 新宿矢来町店
",東京都新宿区矢来町81-2,35.7014174,139.7329233
"
ファミリーマート 小田急エース店
",東京都新宿区西新宿1丁目西口地下街1号,35.6902368,139.6985952
"
ファミリーマート 西新宿青梅街道店
",東京都新宿区西新宿7丁目11-18・711ビルディング,35.6938654,139.6976065
"
ファミリーマート 新宿税務署通り店
",東京都新宿区北新宿1丁目35-3,35.6972413,139.6918977
"
ファミリーマート 小田急第一生命ビル店
",東京都新宿区西新宿2丁目7-1,35.691646,139.6910373
"
ファミリーマート 新宿ゴールデン街店
",東京都新宿区歌舞伎町1丁目1-6,35.6941308,139.7047778
"
ファミリーマート 新宿中落合三丁目店
",東京都新宿区中落合3-24-9,35.7227467,139.6872131
"
ファミリーマート 新宿西落合三丁目店
",東京都新宿区西落合3丁目23-1,35.7238598,139.6779972
"
ファミリーマート 高田馬場早稲田通り店
",東京都新宿区高田馬場1丁目6-16,35.7116636,139.7079046
"
ファミリーマート エステック情報ビル店
",東京都新宿区西新宿1丁目24-1,35.6903216,139.6958938
"
ファミリーマート 中落合三丁目目白通り店
",東京都新宿区中落合3丁目29-13 丸正タケダビル,35.722615,139.6850555
"
ファミリーマート 四谷大通り店
",東京都新宿区四谷2丁目13-3 大和屋ビル,35.6879659,139.7238729
"
ファミリーマート 薬ヒグチ四谷駅前店
",東京都新宿区四谷1丁目2-5 ヒグチ四谷ビル,35.6857729,139.7288679
