Name,Address,Location
"
生活彩家千駄木店
",東京都文京区千駄木2丁目47-2,"{'lat': 35.72207270000001, 'lng': 139.7624824}"
"
NEWDAYS(ニューデイズ) 御茶ノ水店
",東京都文京区湯島1-5 御茶ノ水駅西口改札脇,"{'lat': 35.6993854, 'lng': 139.7652479}"
"
ポプラ 千駄木駅前店
",東京都文京区千駄木3-37-20,"{'lat': 35.72490920000001, 'lng': 139.7634466}"
"
生活彩家 後楽園駅ビル店
",東京都文京区春日1-2-3 後楽園駅ビルB1F,"{'lat': 35.7071455, 'lng': 139.7514699}"
"
ファミリーマート 護国寺駅前店
",東京都文京区音羽2-10-2,"{'lat': 35.7199699, 'lng': 139.7274481}"
"
有限会社小沢商店
",東京都文京区白山1-7-11,"{'lat': 35.7162842, 'lng': 139.7521427}"
"
ローソン 本郷一丁目店
",東京都文京区本郷1-21-7,"{'lat': 35.704901, 'lng': 139.7555885}"
"
ローソン 千駄木店
",東京都文京区千駄木3-32-7,"{'lat': 35.7267044, 'lng': 139.763432}"
"
ローソン 本駒込五丁目店
",東京都文京区本駒込5-4-7,"{'lat': 35.7326259, 'lng': 139.7502221}"
"
ローソン 東大病院店
",東京都文京区本郷7-3-1  東京大学医学部附属病院内,"{'lat': 35.7117403, 'lng': 139.7655859}"
"
ローソン 東京大学龍岡門店
",東京都文京区本郷7-3-1,"{'lat': 35.7141631, 'lng': 139.7621022}"
"
ローソン 文京春日一丁目店
",東京都文京区春日1-11-13,"{'lat': 35.7100926, 'lng': 139.7467529}"
"
ローソン 東京大学安田講堂店
",東京都文京区本郷7-3-1,"{'lat': 35.7141631, 'lng': 139.7621022}"
"
ローソン 御茶ノ水店
",東京都文京区湯島1-5-28,"{'lat': 35.702435, 'lng': 139.7633452}"
"
ローソン 湯島駅前店
",東京都文京区湯島3-24-13,"{'lat': 35.7061076, 'lng': 139.769687}"
"
ローソン 本郷白山通店
",東京都文京区本郷1-33-13,"{'lat': 35.7065355, 'lng': 139.7545295}"
"
ローソン 文京大塚三丁目店
",東京都文京区大塚3-9-3,"{'lat': 35.7212919, 'lng': 139.7322525}"
"
ナチュラルローソン 東大赤門前店
",東京都文京区本郷5-26-2,"{'lat': 35.7105341, 'lng': 139.7597018}"
"
ローソン 本郷三丁目メトロピア店
",東京都文京区本郷2-39-1 丸ノ内線本郷3丁目駅構内,"{'lat': 35.706718, 'lng': 139.759816}"
"
ナチュラルローソン 音羽一丁目店
",東京都文京区音羽1-26-1,"{'lat': 35.7112429, 'lng': 139.7310375}"
"
ローソン 小石川一丁目店
",東京都文京区小石川1-14,"{'lat': 35.71258170000001, 'lng': 139.7513925}"
"
ローソン 小石川五丁目店
",東京都文京区小石川5-6-10,"{'lat': 35.7181664, 'lng': 139.7372161}"
"
ローソン 茗荷谷駅前店
",東京都文京区大塚1-4-15,"{'lat': 35.7176378, 'lng': 139.7360013}"
"
ローソン 都営水道橋駅前店
",東京都文京区本郷1-20-3,"{'lat': 35.7044567, 'lng': 139.7551795}"
"
ローソン 東京ドームシティ店
",東京都文京区後楽1-3-61,"{'lat': 35.7053406, 'lng': 139.7521112}"
"
ローソン 本郷一丁目春日通店
",東京都文京区本郷1-29-10,"{'lat': 35.707112, 'lng': 139.755833}"
"
ローソン 文京白山五丁目店
",東京都文京区白山5-7-12,"{'lat': 35.7227604, 'lng': 139.748205}"
"
ナチュラルローソン 都立駒込病院店
",東京都文京区本駒込3-18-22,"{'lat': 35.7298427, 'lng': 139.7563929}"
"
ローソン 文京本郷七丁目店
",東京都文京区本郷7-2-2,"{'lat': 35.7076625, 'lng': 139.7624676}"
"
ローソン 御茶ノ水MKビル店
",東京都文京区湯島1-8-2,"{'lat': 35.7022142, 'lng': 139.7654241}"
"
ローソンストア100 LS白山駅前店
",東京都文京区白山5-36-8武蔵野ビル,"{'lat': 35.720822, 'lng': 139.751692}"
"
ローソンストア100 LS本駒込店
",東京都文京区本駒込4-46-4ルピナス本駒込,"{'lat': 35.7338409, 'lng': 139.7555049}"
"
ローソンストア100 LS本郷郵便局店
",東京都文京区本郷6-1-15,"{'lat': 35.7122082, 'lng': 139.759083}"
"
ローソンストア100 LS文京千石四丁目店
",東京都文京区千石4-45-17,"{'lat': 35.7293382, 'lng': 139.7427878}"
"
ローソンストア100 東京大学工学部三号館店
",東京都文京区本郷7-3-1,"{'lat': 35.7141631, 'lng': 139.7621022}"
"
ローソン メトロス江戸川橋店
",東京都文京区関口1-19-6,"{'lat': 35.7091251, 'lng': 139.7339999}"
"
ローソン 春日駅前店
",東京都文京区小石川1-9-1,"{'lat': 35.7113278, 'lng': 139.7524324}"
"
ローソン 順天堂医院B棟店
",東京都文京区本郷3-1-3,"{'lat': 35.7024045, 'lng': 139.7626057}"
"
ナチュラルローソン 順天堂医院C棟店
",東京都文京区本郷3-1-3,"{'lat': 35.7024045, 'lng': 139.7626057}"
"
ローソン メトロス後楽園店
",東京都文京区春日1-2-3,"{'lat': 35.7072763, 'lng': 139.7514029}"
"
ローソン 文京サッカー通り店
",東京都文京区湯島2-5-10,"{'lat': 35.7041731, 'lng': 139.7643527}"
"
ローソン 茗荷谷春日通店
",東京都文京区小石川5-5-7,"{'lat': 35.7180506, 'lng': 139.7367969}"
"
ローソン メトロス茗荷谷店
",東京都文京区小日向4-6-15,"{'lat': 35.717332, 'lng': 139.7367463}"
"
ローソン 江戸川橋駅前店
",東京都文京区関口1-21-19,"{'lat': 35.709512, 'lng': 139.7330256}"
"
ローソン 文京音羽一丁目店
",東京都文京区音羽1-20-2,"{'lat': 35.715105, 'lng': 139.7292045}"
